superscaffold	index	scaffold	scaffold.length	start	end
Super_Scaffold0	0	NW_VBSM01000001.1	1762	0	1762
Super_Scaffold0	1	NW_VBSM01000002.1	2436	2762	5198
Super_Scaffold0	2	NW_VBSM01000003.1	1236	6198	7434
Super_Scaffold0	3	NW_VBSM01000004.1	2424	8434	10858
Super_Scaffold0	4	NW_VBSM01000005.1	4705	11858	16563
Super_Scaffold0	5	NW_VBSM01000006.1	1382	17563	18945
Super_Scaffold0	6	NW_VBSM01000007.1	2441	19945	22386
Super_Scaffold0	7	NW_VBSM01000008.1	1296	23386	24682
Super_Scaffold0	8	NW_VBSM01000009.1	5812	25682	31494
Super_Scaffold0	9	NW_VBSM01000010.1	1141	32494	33635
Super_Scaffold0	10	NW_VBSM01000011.1	1242	34635	35877
Super_Scaffold0	11	NW_VBSM01000012.1	1705	36877	38582
Super_Scaffold0	12	NW_VBSM01000013.1	2387	39582	41969
Super_Scaffold0	13	NW_VBSM01000014.1	302902	42969	345871
Super_Scaffold0	14	NW_VBSM01000015.1	1712	346871	348583
Super_Scaffold0	15	NW_VBSM01000016.1	1134	349583	350717
Super_Scaffold0	16	NW_VBSM01000017.1	2756	351717	354473
Super_Scaffold0	17	NW_VBSM01000018.1	1293	355473	356766
Super_Scaffold0	18	NW_VBSM01000019.1	2860	357766	360626
Super_Scaffold0	19	NW_VBSM01000020.1	1658	361626	363284
Super_Scaffold0	20	NW_VBSM01000021.1	3756	364284	368040
Super_Scaffold0	21	NW_VBSM01000022.1	1309	369040	370349
Super_Scaffold0	22	NW_VBSM01000023.1	1260	371349	372609
Super_Scaffold0	23	NW_VBSM01000024.1	4500	373609	378109
Super_Scaffold0	24	NW_VBSM01000025.1	3372	379109	382481
Super_Scaffold0	25	NW_VBSM01000026.1	2359	383481	385840
Super_Scaffold0	26	NW_VBSM01000027.1	1885	386840	388725
Super_Scaffold0	27	NW_VBSM01000028.1	2536	389725	392261
Super_Scaffold0	28	NW_VBSM01000029.1	1835	393261	395096
Super_Scaffold0	29	NW_VBSM01000030.1	2985	396096	399081
Super_Scaffold0	30	NW_VBSM01000031.1	1358	400081	401439
Super_Scaffold0	31	NW_VBSM01000032.1	1564	402439	404003
Super_Scaffold0	32	NW_VBSM01000033.1	1158	405003	406161
Super_Scaffold0	33	NW_VBSM01000034.1	2852	407161	410013
Super_Scaffold0	34	NW_VBSM01000035.1	1436	411013	412449
Super_Scaffold0	35	NW_VBSM01000036.1	1707	413449	415156
Super_Scaffold0	36	NW_VBSM01000037.1	1497	416156	417653
Super_Scaffold0	37	NW_VBSM01000038.1	3996	418653	422649
Super_Scaffold0	38	NW_VBSM01000039.1	1983	423649	425632
Super_Scaffold0	39	NW_VBSM01000040.1	3060	426632	429692
Super_Scaffold0	40	NW_VBSM01000041.1	4297	430692	434989
Super_Scaffold0	41	NW_VBSM01000042.1	1037	435989	437026
Super_Scaffold0	42	NW_VBSM01000043.1	5062	438026	443088
Super_Scaffold0	43	NW_VBSM01000044.1	120972	444088	565060
Super_Scaffold0	44	NW_VBSM01000045.1	1673	566060	567733
Super_Scaffold0	45	NW_VBSM01000046.1	2351	568733	571084
Super_Scaffold0	46	NW_VBSM01000047.1	2412	572084	574496
Super_Scaffold0	47	NW_VBSM01000048.1	1591	575496	577087
Super_Scaffold0	48	NW_VBSM01000049.1	1413	578087	579500
Super_Scaffold0	49	NW_VBSM01000050.1	3594	580500	584094
Super_Scaffold0	50	NW_VBSM01000051.1	1230	585094	586324
Super_Scaffold0	51	NW_VBSM01000052.1	1340	587324	588664
Super_Scaffold0	52	NW_VBSM01000053.1	1455	589664	591119
Super_Scaffold0	53	NW_VBSM01000054.1	5426	592119	597545
Super_Scaffold0	54	NW_VBSM01000055.1	1136	598545	599681
Super_Scaffold0	55	NW_VBSM01000056.1	391367	600681	992048
Super_Scaffold0	56	NW_VBSM01000057.1	1654	993048	994702
Super_Scaffold0	57	NW_VBSM01000058.1	2282	995702	997984
Super_Scaffold0	58	NW_VBSM01000059.1	2469	998984	1001453
Super_Scaffold0	59	NW_VBSM01000060.1	4986	1002453	1007439
Super_Scaffold0	60	NW_VBSM01000061.1	2201	1008439	1010640
Super_Scaffold0	61	NW_VBSM01000062.1	3607	1011640	1015247
Super_Scaffold0	62	NW_VBSM01000063.1	4039	1016247	1020286
Super_Scaffold0	63	NW_VBSM01000064.1	2342	1021286	1023628
Super_Scaffold0	64	NW_VBSM01000065.1	5512	1024628	1030140
Super_Scaffold0	65	NW_VBSM01000066.1	1631	1031140	1032771
Super_Scaffold0	66	NW_VBSM01000067.1	1120	1033771	1034891
Super_Scaffold0	67	NW_VBSM01000068.1	2305	1035891	1038196
Super_Scaffold0	68	NW_VBSM01000069.1	4734	1039196	1043930
Super_Scaffold0	69	NW_VBSM01000070.1	4919	1044930	1049849
Super_Scaffold0	70	NW_VBSM01000071.1	2786	1050849	1053635
Super_Scaffold0	71	NW_VBSM01000072.1	1175	1054635	1055810
Super_Scaffold0	72	NW_VBSM01000073.1	1399	1056810	1058209
Super_Scaffold0	73	NW_VBSM01000074.1	4587	1059209	1063796
Super_Scaffold0	74	NW_VBSM01000075.1	2231	1064796	1067027
Super_Scaffold0	75	NW_VBSM01000076.1	3344	1068027	1071371
Super_Scaffold0	76	NW_VBSM01000077.1	1042	1072371	1073413
Super_Scaffold0	77	NW_VBSM01000078.1	2531	1074413	1076944
